School_Name,Subject_Desc
ANGLICAN HIGH SCHOOL,"Humanities (SS, Literature in Chinese)"
ANGLICAN HIGH SCHOOL,"Humanities (SS, Literature in English)"
ANGLICAN HIGH SCHOOL,Japanese Language
ANGLICAN HIGH SCHOOL,Literature in Chinese
ANGLICAN HIGH SCHOOL,Literature in English
ANGLICAN HIGH SCHOOL,Malay Language (Special Programme)
ANGLICAN HIGH SCHOOL,Malay Language (Special Programme) (Non-examinable)
ANGLICAN HIGH SCHOOL,Mathematics
ANGLICAN HIGH SCHOOL,Music
ANGLICAN HIGH SCHOOL,Physical Education
ANGLICAN HIGH SCHOOL,Physics
